"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'CIF (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'CIF (Baht)')"
AU,AUSTRALIA,139780,3415525,145780,3835575
AT,AUSTRIA,5500,270205,11000,616407
BE,BELGIUM,67340,3513505,540660,28694386
BR,BRAZIL,25000,2197065,119500,10591910
CA,CANADA,0,0,11000,664926
CN,CHINA,1001000,44505197,2109150,96094672
FI,FINLAND,0,0,46750,2574007
FR,FRANCE,1375,73814,1575,82971
DE,GERMANY,45390,7103897,148460,23882251
HK,HONG KONG,22,4633,22,4633
ID,INDONESIA,0,0,45251,1997109
IT,ITALY,7000,907495,64211,3697238
JP,JAPAN,1253730,67121855,7274264,413362374
KR,"KOREA,REPUBLIC OF",140050,6164288,367755,16323362
KW,KUWAIT,643500,27152981,3737250,154619183
MY,MALAYSIA,370500,16629397,1846175,79145579
NL,NETHERLANDS,0,0,100,66350
QA,QATAR,293500,12571474,2716000,117061919
SA,SAUDI ARABIA,2853600,120294334,14157850,570596918
SG,SINGAPORE,1904860,86194045,10102459,423489329
TW,"TAIWAN, PROVINCE OF CHINA",0,0,28575,2326438
TH,THAILAND,26,4627,26,4627
AE,UNITED ARAB EMIRATES,1980000,85756585,7114050,289655601
GB,UNITED KINGDOM,0,0,20,4738
US,UNITED STATES,515458,22739841,1644682,87577195
SUM,SUM,11247631,506620763,52232565,2326969698
