"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'CIF (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'CIF (Baht)')"
AT,AUSTRIA,0,0,1,8200
BE,BELGIUM,79000,7166899,485612,37648082
BR,BRAZIL,0,0,1075,159347
CA,CANADA,17000,1336500,17000,1336500
CN,CHINA,29550,2227261,155661,9669973
FR,FRANCE,0,0,7,4115
DE,GERMANY,0,0,25,5257
ID,INDONESIA,0,0,20,6484
IT,ITALY,0,0,11000,1754728
JP,JAPAN,253649,12874242,963537,58189097
KR,"KOREA,REPUBLIC OF",154016,7894881,1677762,81028034
MY,MALAYSIA,92946,3665529,661632,28506974
SG,SINGAPORE,800,109578,68400,3235453
ES,SPAIN,100,46896,141,52616
TW,"TAIWAN, PROVINCE OF CHINA",118010,7073395,486892,29696147
GB,UNITED KINGDOM,0,0,300,177997
US,UNITED STATES,27522,2770005,144464,16544412
VN,VIETNAM,29130,335030,226290,3387332
SUM,SUM,801723,45500216,4899819,271410748
