"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'CIF (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'CIF (Baht)')"
AT,AUSTRIA,2,940,14527,2018567
BD,BANGLADESH,0,0,27,8964
BE,BELGIUM,70050,7655522,639108,52750661
BR,BRAZIL,0,0,50,22296
KH,CAMBODIA,6,1548,6,1548
CA,CANADA,2250,737293,32275,8738894
CN,CHINA,428326,19877453,4329334,202898434
EG,EGYPT,0,0,1604,171243
FR,FRANCE,75,15064,34225,3555281
DE,GERMANY,100600,6494778,678454,44926593
HK,HONG KONG,100,97620,317,251079
IN,INDIA,67000,2282070,131909,8112325
ID,INDONESIA,25,5072,234,199185
IT,ITALY,27,12342,20965,6682977
JP,JAPAN,532396,49912495,3791105,406424315
KR,"KOREA,REPUBLIC OF",219581,8074974,1619116,79733190
LU,LUXEMBOURG,0,0,1500,511377
MY,MALAYSIA,21350,1349988,449399,28091219
NL,NETHERLANDS,20415,2825105,20636,2895081
NZ,NEW ZEALAND,0,0,1700,438589
PH,PHILIPPINES,0,0,1100,8710
QA,QATAR,408000,16528029,4105500,167044154
SA,SAUDI ARABIA,1333350,54561464,5063550,213292352
SG,SINGAPORE,2264620,120536764,18024613,966574259
ES,SPAIN,0,0,262451,19839521
CH,SWITZERLAND,0,0,10064,1164735
TW,"TAIWAN, PROVINCE OF CHINA",55725,3510526,1354877,69472320
TH,THAILAND,0,0,18041,1159210
UG,UGANDA,0,0,1905,330681
UA,UKRAINE,0,0,159350,7876480
AE,UNITED ARAB EMIRATES,95070,2633361,3572250,144269082
GB,UNITED KINGDOM,2000,561361,9005,2460424
US,UNITED STATES,439553,51234091,5255330,513315559
VN,VIETNAM,10200,587536,11785,683604
SUM,SUM,6070721,349495396,49616312,2955922909
