"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'CIF (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'CIF (Baht)')"
AU,AUSTRALIA,11000,677596,11000,677596
AT,AUSTRIA,6000,633189,19200,2333056
BE,BELGIUM,52426,5000652,191001,17909373
CA,CANADA,1500,435542,12100,3394482
CN,CHINA,736714,30905317,4051940,168065490
DK,DENMARK,0,2405,0,2609
FR,FRANCE,1300,195082,12300,1483302
DE,GERMANY,46753,3260811,129534,11324091
HK,HONG KONG,0,0,150,34350
IN,INDIA,4000,695587,31025,2980751
ID,INDONESIA,0,80,255,105027
IT,ITALY,1500,602803,6630,2893669
JP,JAPAN,253815,31255923,1679835,187734555
KR,"KOREA,REPUBLIC OF",128800,7705151,1332085,72039547
KW,KUWAIT,0,0,200,109520
MY,MALAYSIA,110400,5645052,497075,25123266
NL,NETHERLANDS,2000,328741,13510,1915032
QA,QATAR,229500,8719495,229500,8719495
SA,SAUDI ARABIA,71100,2839304,356750,14421026
SG,SINGAPORE,2207545,101431005,12301931,557249077
ES,SPAIN,8800,691981,61600,4329178
TW,"TAIWAN, PROVINCE OF CHINA",5800,733358,107065,9881968
TH,THAILAND,7000,565482,9500,836964
AE,UNITED ARAB EMIRATES,297000,11837685,1696010,68733929
GB,UNITED KINGDOM,8000,1210339,15060,3338012
US,UNITED STATES,180067,29820434,1159121,163075224
VN,VIETNAM,0,0,27839,1416270
SUM,SUM,4371020,245193014,23952216,1330126859
