"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'CIF (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'CIF (Baht)')"
CN,CHINA,101000,6536044,375200,25030861
IN,INDIA,0,0,100,3904
JP,JAPAN,400,150375,52700,3058871
KR,"KOREA,REPUBLIC OF",0,0,3975,209748
NL,NETHERLANDS,0,0,78,51774
SA,SAUDI ARABIA,222750,8286021,618750,20995835
SG,SINGAPORE,49500,2102521,253500,8915211
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2050,190082
US,UNITED STATES,0,0,11431,1113863
VN,VIETNAM,200,9763,200,9763
SUM,SUM,373850,17084724,1317984,59579912
