"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,10,3987
AT,AUSTRIA,0,0,337500,18892769
BE,BELGIUM,0,0,74400,3712980
CA,CANADA,0,0,4000,724051
CN,CHINA,147500,15243388,386125,46548915
FR,FRANCE,102940,5763890,680220,32916950
DE,GERMANY,6090,829742,48302,6443749
HK,HONG KONG,1000,122556,1000,122556
IN,INDIA,24,5066,4667,491140
ID,INDONESIA,0,0,168621,18135085
IT,ITALY,0,0,300,29715
JP,JAPAN,696516,48460135,5875197,400116629
KR,"KOREA,REPUBLIC OF",497825,23350677,2191755,111507283
MY,MALAYSIA,48025,2237865,177800,8395316
MX,MEXICO,0,0,810,504339
NL,NETHERLANDS,24750,1571713,452375,30874895
PH,PHILIPPINES,2,753,27,10003
SA,SAUDI ARABIA,198000,7554699,915750,36673796
SG,SINGAPORE,5091875,223606047,35594844,1646776602
ZA,SOUTH AFRICA,0,0,74250,2752999
ES,SPAIN,0,0,134800,12426982
SE,SWEDEN,18,24371,18,24371
CH,SWITZERLAND,0,0,1250,236622
TW,"TAIWAN, PROVINCE OF CHINA",182500,8082022,1218525,59269856
TH,THAILAND,0,0,6369,321716
AE,UNITED ARAB EMIRATES,478500,18952029,3409525,140962975
GB,UNITED KINGDOM,0,0,1065,428765
US,UNITED STATES,51932,4093602,390927,31518482
VN,VIETNAM,0,0,36,7756
SUM,SUM,7527497,359898555,52150468,2610831284
