"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'CIF (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'CIF (Baht)')"
AT,AUSTRIA,0,0,14527,2018567
BD,BANGLADESH,0,0,27,8964
BE,BELGIUM,24750,2526074,663858,55276735
BR,BRAZIL,0,0,50,22296
KH,CAMBODIA,0,0,6,1548
CA,CANADA,6500,1501895,38775,10240789
CN,CHINA,352127,12984095,4681461,215882529
EG,EGYPT,0,0,1604,171243
FR,FRANCE,0,0,34225,3555281
DE,GERMANY,131814,9514213,810268,54440806
HK,HONG KONG,120,59265,437,310344
IN,INDIA,55110,2415417,187019,10527742
ID,INDONESIA,0,0,234,199185
IL,ISRAEL,9600,772042,9600,772042
IT,ITALY,0,0,20965,6682977
JP,JAPAN,332814,40970218,4123919,447394533
KR,"KOREA,REPUBLIC OF",196050,9257796,1815166,88990986
LU,LUXEMBOURG,0,0,1500,511377
MY,MALAYSIA,41055,2476696,490454,30567915
NL,NETHERLANDS,20400,2797375,41036,5692456
NZ,NEW ZEALAND,0,0,1700,438589
PH,PHILIPPINES,0,0,1100,8710
QA,QATAR,408000,16306044,4513500,183350198
SA,SAUDI ARABIA,1085475,45739549,6149025,259031901
SG,SINGAPORE,2397228,118091499,20421841,1084665758
ES,SPAIN,99040,7981351,361491,27820872
CH,SWITZERLAND,0,0,10064,1164735
TW,"TAIWAN, PROVINCE OF CHINA",2450,310053,1357327,69782373
TH,THAILAND,0,0,18041,1159210
UG,UGANDA,0,0,1905,330681
UA,UKRAINE,24700,1104607,184050,8981087
AE,UNITED ARAB EMIRATES,184250,7647822,3756500,151916904
GB,UNITED KINGDOM,2000,421107,11005,2881531
US,UNITED STATES,346686,45281999,5602016,558597558
VN,VIETNAM,0,0,11785,683604
SUM,SUM,5720169,328159117,55336481,3284082026
