"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'CIF (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'CIF (Baht)')"
BE,BELGIUM,24750,1458760,24750,1458760
BR,BRAZIL,0,0,5500,556837
CN,CHINA,20253,1002115,20275,1007318
JP,JAPAN,17001,1280748,21001,1697941
KR,"KOREA,REPUBLIC OF",0,0,325,99199
QA,QATAR,178500,8959982,178500,8959982
SA,SAUDI ARABIA,637200,26208250,1008450,42387413
SG,SINGAPORE,0,0,148500,6698478
VN,VIETNAM,50,10980,50,10980
SUM,SUM,877754,38920835,1407351,62876908
