"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'CIF (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'CIF (Baht)')"
AT,AUSTRIA,0,0,5500,596944
BE,BELGIUM,129055,10600080,455590,34642928
BR,BRAZIL,0,0,150000,7379933
CN,CHINA,1591306,90824924,5096848,305018981
CZ,CZECH REPUBLIC,10000,303575,10000,303575
FI,FINLAND,0,0,46175,4804171
FR,FRANCE,0,0,27000,2019183
DE,GERMANY,2500,281595,141501,11128940
IN,INDIA,21000,1567658,25600,2133054
ID,INDONESIA,45000,3271768,215102,18653866
IL,ISRAEL,0,0,48000,4582951
IT,ITALY,2889,75582,2889,75582
JP,JAPAN,341173,25516600,1463166,98521022
KR,"KOREA,REPUBLIC OF",2074978,110401769,7627178,376945306
MY,MALAYSIA,47785,4406830,229981,22370285
MM,MYANMAR,0,0,400,23623
OM,OMAN,99000,4701575,841500,35986958
PH,PHILIPPINES,32000,1537341,32000,1537341
SA,SAUDI ARABIA,2223990,108347514,14179887,634956924
SG,SINGAPORE,681874,44378442,3797411,224993561
ZA,SOUTH AFRICA,49500,2188130,123750,5651866
ES,SPAIN,22000,2426492,31925,3445862
TW,"TAIWAN, PROVINCE OF CHINA",300351,17461155,1628606,85040150
TH,THAILAND,16500,888779,17100,917828
AE,UNITED ARAB EMIRATES,74250,3810113,499125,22663475
US,UNITED STATES,42336,5496612,409450,27110733
VN,VIETNAM,25,4302,466075,22476530
SUM,SUM,7807512,438490836,37571759,1953981572
