"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'CIF (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'CIF (Baht)')"
AT,AUSTRIA,550,178902,7150,1015484
BE,BELGIUM,250,35325,238650,18972244
BR,BRAZIL,0,0,0,3998
CA,CANADA,750,225139,16000,4180506
CN,CHINA,515752,22871070,1866481,90176171
EG,EGYPT,0,0,388,34830
FR,FRANCE,100,15789,12150,1569875
DE,GERMANY,162139,9771355,208624,13786700
HK,HONG KONG,0,2284,75,34738
IN,INDIA,6504,482084,27279,2624655
ID,INDONESIA,0,0,100,34276
IT,ITALY,1375,192631,6475,2245865
JP,JAPAN,345510,35527328,1581002,164152055
KR,"KOREA,REPUBLIC OF",169681,7965443,610121,31786368
MY,MALAYSIA,54254,3361145,296624,18579379
NL,NETHERLANDS,0,0,200,40116
PH,PHILIPPINES,0,0,1100,8710
QA,QATAR,408000,15674753,1887000,76119724
SA,SAUDI ARABIA,208850,9366755,858200,35616888
SG,SINGAPORE,2216433,112390099,7152362,386697463
ES,SPAIN,0,0,30800,2678578
CH,SWITZERLAND,0,0,0,1984
TW,"TAIWAN, PROVINCE OF CHINA",345125,15503395,1019893,48917667
TH,THAILAND,120,91595,2316,243681
UA,UKRAINE,155000,7324121,159350,7876480
AE,UNITED ARAB EMIRATES,495000,19713122,1949125,78171960
GB,UNITED KINGDOM,0,0,2600,689024
US,UNITED STATES,329393,40589624,2842861,243906815
VN,VIETNAM,0,0,285,53976
SUM,SUM,5414786,301281959,20777211,1230220210
