"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
AT,AUSTRIA,6270,509015,6270,509015
BE,BELGIUM,34720,1402069,34720,1402069
CN,CHINA,301575,19334613,301575,19334613
FI,FINLAND,23375,1159692,23375,1159692
HU,HUNGARY,2750,198459,2750,198459
IN,INDIA,1000,101994,1000,101994
IL,ISRAEL,24000,1516462,24000,1516462
JP,JAPAN,475259,29125586,475259,29125586
KR,"KOREA,REPUBLIC OF",1378650,53702516,1378650,53702516
MY,MALAYSIA,73298,4761467,73298,4761467
OM,OMAN,272250,8096113,272250,8096113
SA,SAUDI ARABIA,2311000,80012684,2311000,80012684
SG,SINGAPORE,631024,27844178,631024,27844178
ZA,SOUTH AFRICA,30,6077,30,6077
TW,"TAIWAN, PROVINCE OF CHINA",102050,7069338,102050,7069338
TH,THAILAND,370500,16292613,370500,16292613
AE,UNITED ARAB EMIRATES,300,12698,300,12698
US,UNITED STATES,40370,2801365,40370,2801365
SUM,SUM,6048421,253946939,6048421,253946939
