"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,19000,1685338
CN,CHINA,123500,6005085,239250,13947866
DE,GERMANY,1100,141495,4700,367578
IN,INDIA,500,58488,2025,238759
IT,ITALY,0,0,0,2300
JP,JAPAN,253565,13337364,1250557,65912301
KR,"KOREA,REPUBLIC OF",771000,35424645,1435350,64734743
MY,MALAYSIA,62031,8617918,197023,29399214
SA,SAUDI ARABIA,247500,9844025,1683000,66015763
SG,SINGAPORE,14320,2323970,79080,11598675
ZA,SOUTH AFRICA,0,0,123750,4550144
TW,"TAIWAN, PROVINCE OF CHINA",16000,843633,32000,1693714
AE,UNITED ARAB EMIRATES,0,0,100,45936
VN,VIETNAM,0,0,120000,1897603
SUM,SUM,1489516,76596623,5185835,262089934
