"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'CIF (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,25,7904
CN,CHINA,0,0,9035,358662
HK,HONG KONG,0,0,200,107965
ID,INDONESIA,0,0,100,39263
JP,JAPAN,24200,1358277,898416,38723071
KR,"KOREA,REPUBLIC OF",0,0,110053,3401818
MY,MALAYSIA,0,0,50,9969
SA,SAUDI ARABIA,73500,3302711,1187250,43208866
TW,"TAIWAN, PROVINCE OF CHINA",18000,1564543,162000,13422893
AE,UNITED ARAB EMIRATES,600,26677,600,26677
US,UNITED STATES,0,0,348753,14929786
SUM,SUM,116300,6252208,2716482,114236874
