"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
CN,CHINA,24980,1859264,30020,2378104
FR,FRANCE,3910,1002859,8625,2197289
DE,GERMANY,875,194387,2450,467754
JP,JAPAN,40140,2033464,95880,5132323
KR,"KOREA,REPUBLIC OF",205180,8236113,689380,30892228
MY,MALAYSIA,18,4836,18,4836
RU,RUSSIAN FEDERATION,0,0,16500,2706002
GB,UNITED KINGDOM,0,0,0,385
US,UNITED STATES,0,0,176,82982
SUM,SUM,275103,13330923,843049,43861903
