"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'CIF (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'CIF (Baht)')"
CN,CHINA,76200,8654257,352025,32609659
FI,FINLAND,0,0,3750,423933
JP,JAPAN,250200,14225400,582890,34839793
KR,"KOREA,REPUBLIC OF",141000,8343675,634600,39152290
MY,MALAYSIA,20000,1224954,120000,7111410
SA,SAUDI ARABIA,0,0,49500,2052856
SE,SWEDEN,0,0,195150,15370135
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11550,1136448
AE,UNITED ARAB EMIRATES,113100,5479362,364000,17981532
GB,UNITED KINGDOM,0,0,11000,1098255
US,UNITED STATES,76874,5017119,381102,24966818
VN,VIETNAM,33750,2262016,206250,14242410
SUM,SUM,711124,45206783,2911817,190985539
