"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
CN,CHINA,1,359,8399,691384
FR,FRANCE,0,0,7500,1448251
IN,INDIA,0,0,1,65
IL,ISRAEL,0,0,48000,2830291
IT,ITALY,0,0,1,37689
JP,JAPAN,25655,4422383,154475,21842629
KR,"KOREA,REPUBLIC OF",200100,10248057,759700,36711795
MX,MEXICO,0,0,734,33375
QA,QATAR,0,0,34000,1509329
SG,SINGAPORE,37500,2290315,58500,3523598
GB,UNITED KINGDOM,3635,938339,14010,3496943
US,UNITED STATES,0,0,2301,168007
SUM,SUM,266891,17899453,1087621,72293356
