"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'CIF (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'CIF (Baht)')"
AU,AUSTRALIA,10000,526766,12100,651910
BE,BELGIUM,148500,6656341,247500,10816670
BR,BRAZIL,0,0,1375,635813
CA,CANADA,645760,21240443,695760,22631138
CN,CHINA,88001,5286151,171801,10475715
DE,GERMANY,88,33985,88,33985
ID,INDONESIA,676650,23764294,1945400,63650777
IL,ISRAEL,40,25873,40,25873
JP,JAPAN,78660,4077890,173020,16735044
KR,"KOREA,REPUBLIC OF",42000,1562158,126000,4615573
KW,KUWAIT,346500,10852890,668250,20365457
MY,MALAYSIA,288315,9709998,498320,16695522
QA,QATAR,229500,8539920,663000,22823729
SA,SAUDI ARABIA,4536900,146269774,10319020,326587198
SG,SINGAPORE,538875,19931708,1463650,54721450
TW,"TAIWAN, PROVINCE OF CHINA",500,996866,1200,2401436
AE,UNITED ARAB EMIRATES,1089000,37657145,2844875,94831312
US,UNITED STATES,394328,15597132,1487155,52006498
VN,VIETNAM,5,1408,30,5147
SUM,SUM,9113622,312730742,21318584,720710247
