"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,0,12000
BR,BRAZIL,380,113747,1684,425957
CN,CHINA,11800,1018941,13600,1235472
FR,FRANCE,1985,475054,80085,5232947
DE,GERMANY,300,47180,6500,1354035
JP,JAPAN,1163,509660,50529,7545365
KR,"KOREA,REPUBLIC OF",250920,14352742,638240,35464055
MY,MALAYSIA,25,11209,225,81357
RU,RUSSIAN FEDERATION,6344,1310139,6344,1310139
SG,SINGAPORE,0,0,168,28252
TW,"TAIWAN, PROVINCE OF CHINA",0,0,7840,678404
GB,UNITED KINGDOM,0,0,5040,583251
US,UNITED STATES,0,0,1470,598064
SUM,SUM,272917,17838672,811725,54549298
