"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
BE,BELGIUM,24750,989896,56375,2305978
CA,CANADA,386,110578,386,110578
CN,CHINA,0,0,19828,212317
FR,FRANCE,0,0,2,1794
DE,GERMANY,24,6985,68,54392
IN,INDIA,0,0,2,429
JP,JAPAN,14700,957109,473503,10494874
KR,"KOREA,REPUBLIC OF",0,0,3,916
MY,MALAYSIA,100,104533,1129,233034
QA,QATAR,0,0,280500,8923613
SA,SAUDI ARABIA,21600,703182,194400,7005158
SG,SINGAPORE,0,0,0,89
ES,SPAIN,0,0,2,1277
CH,SWITZERLAND,0,0,2,1974
TW,"TAIWAN, PROVINCE OF CHINA",0,0,23001,3133412
AE,UNITED ARAB EMIRATES,0,0,11,6831
GB,UNITED KINGDOM,0,0,195,66182
US,UNITED STATES,300,62942,37643,350800
VN,VIETNAM,25000,1086759,75000,3412164
SUM,SUM,86860,4021984,1162050,36315812
