"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'CIF (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'CIF (Baht)')"
BR,BRAZIL,75,7176,75,7176
CN,CHINA,7878,53813,7878,53813
DE,GERMANY,1600,3153787,1600,3153787
JP,JAPAN,1225,173031,334425,3557441
KR,"KOREA,REPUBLIC OF",14000,535838,14000,535838
MY,MALAYSIA,0,0,400,187511
PH,PHILIPPINES,13,2530,13,2530
SA,SAUDI ARABIA,123750,4313719,247500,9140508
US,UNITED STATES,18000,1377868,18000,1377868
SUM,SUM,166541,9617762,623891,18016472
