"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'CIF (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7,1737
CN,CHINA,3000,180877,141620,8466914
DE,GERMANY,0,0,28820,1906795
IL,ISRAEL,11500,1019138,56300,4490790
JP,JAPAN,2200,374630,81386,8200465
KR,"KOREA,REPUBLIC OF",0,0,72000,3650611
MY,MALAYSIA,20000,427183,20027,433421
NL,NETHERLANDS,0,0,49502,3282913
QA,QATAR,96000,5124446,376500,17785165
SA,SAUDI ARABIA,0,0,32000,1416940
SG,SINGAPORE,0,0,220,91173
ES,SPAIN,0,0,24750,1252872
CH,SWITZERLAND,0,0,0,1557
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20000,2022924
TH,THAILAND,0,0,2250,359978
US,UNITED STATES,0,0,63537,18285742
SUM,SUM,132700,7126274,968919,71649997
