"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'CIF (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,257859,16609670
AT,AUSTRIA,784,35643,784,35643
BE,BELGIUM,106075,7587609,877675,64985068
BR,BRAZIL,0,0,500,75073
BG,BULGARIA,40,16765,40,16765
CN,CHINA,449695,31109471,4289276,306396416
CZ,CZECH REPUBLIC,125,22021,125,22021
FI,FINLAND,23375,1729131,195437,14138342
FR,FRANCE,27750,2262784,352487,27764269
DE,GERMANY,41457,9080525,171503,31661913
HK,HONG KONG,0,0,415,75967
IN,INDIA,200,43953,130253,6772031
ID,INDONESIA,12525,1909980,101015,12808248
IL,ISRAEL,0,0,7250,705313
IT,ITALY,800,111650,26393,4534247
JP,JAPAN,925504,79074205,7098110,609823599
KP,KOREA DPR,0,0,48208,3239027
KR,"KOREA,REPUBLIC OF",1508264,92897302,15440630,972586133
MY,MALAYSIA,50515,8106853,629358,92146608
MX,MEXICO,0,0,60,83519
NL,NETHERLANDS,0,0,719760,63821197
NZ,NEW ZEALAND,192,100680,3168,507009
PH,PHILIPPINES,8164,769482,17689,1681291
PT,PORTUGAL,0,0,47,31619
SA,SAUDI ARABIA,3906030,198848447,32797049,1665342621
SG,SINGAPORE,1903892,113278970,11332331,690912114
SK,SLOVAKIA,500,38864,2500,532695
ZA,SOUTH AFRICA,0,0,297000,15017904
ES,SPAIN,0,0,55021,6795502
TW,"TAIWAN, PROVINCE OF CHINA",113302,8511111,1853182,92863454
TH,THAILAND,0,0,79302,4332784
AE,UNITED ARAB EMIRATES,173350,8983428,767650,39539599
GB,UNITED KINGDOM,1000,166313,1152,370567
US,UNITED STATES,703692,36835987,1961608,111408845
VN,VIETNAM,16400,1688794,44434,5645365
SUM,SUM,9973631,603209968,79559271,4863282438
