"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'CIF (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,3,1907
CA,CANADA,0,0,1020,293254
CN,CHINA,0,0,34150,2621923
FR,FRANCE,1800,512205,158412,11621767
DE,GERMANY,700,115258,6133,1052734
IN,INDIA,360,25078,360,25078
JP,JAPAN,39934,2465764,788261,43929120
KR,"KOREA,REPUBLIC OF",188880,9198916,2047860,100971920
MY,MALAYSIA,0,0,2400,236394
NL,NETHERLANDS,0,0,11000,1187239
RU,RUSSIAN FEDERATION,0,0,23250,4434735
SG,SINGAPORE,0,0,1,387
US,UNITED STATES,494,197426,835,366488
SUM,SUM,232168,12514647,3073685,166742946
