"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'CIF (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,3172,186296
BD,BANGLADESH,0,0,45,9117
BE,BELGIUM,80750,7609225,1035502,70451265
BR,BRAZIL,0,0,1100,196568
CA,CANADA,0,0,25000,1925143
CN,CHINA,41670,2316045,474639,29541807
FR,FRANCE,0,0,11000,579968
DE,GERMANY,10300,935614,11606,1099775
HK,HONG KONG,635,31590,1270,72452
IN,INDIA,10,14073,10,14073
ID,INDONESIA,1600,67325,5440,268410
IT,ITALY,5,2411,43080,5629831
JP,JAPAN,154925,9255649,1531332,97523605
KE,KENYA,0,0,16000,846402
KR,"KOREA,REPUBLIC OF",295250,14651388,1428056,73327768
MY,MALAYSIA,120200,5942734,812211,38253064
MX,MEXICO,0,0,8761,1716912
SA,SAUDI ARABIA,420750,18382043,1856250,83020424
SG,SINGAPORE,25,4881,9075,1002817
CH,SWITZERLAND,0,0,20000,2567320
TW,"TAIWAN, PROVINCE OF CHINA",139800,7344349,654207,42014407
GB,UNITED KINGDOM,10,10371,425,272420
US,UNITED STATES,238260,12549808,1097603,64200089
VN,VIETNAM,103990,1504982,521940,7299066
SUM,SUM,1608180,80622488,9567724,522018999
