"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'CIF (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'CIF (Baht)')"
CN,CHINA,1800,241873,526125,51030972
FI,FINLAND,0,0,3750,423933
JP,JAPAN,263000,21708207,1889390,127977083
KR,"KOREA,REPUBLIC OF",451000,29377014,1371600,86318538
MY,MALAYSIA,20000,1391878,170000,10387259
SA,SAUDI ARABIA,0,0,49500,2052856
SE,SWEDEN,11000,771306,229050,18133540
TW,"TAIWAN, PROVINCE OF CHINA",0,0,22550,2153428
AE,UNITED ARAB EMIRATES,117000,6299707,709800,36420486
GB,UNITED KINGDOM,0,0,11000,1098255
US,UNITED STATES,303483,20388031,1143789,74539926
VN,VIETNAM,50625,3556004,503750,35088784
SUM,SUM,1217908,83734020,6630304,445625060
