"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
BR,BRAZIL,0,0,275,35400
CN,CHINA,0,0,60178,997266
DE,GERMANY,0,0,6520,12867860
IN,INDIA,0,0,52049,1755932
JP,JAPAN,96000,3750304,675211,18291020
KR,"KOREA,REPUBLIC OF",0,0,70000,2548181
MY,MALAYSIA,0,0,1400,549489
NL,NETHERLANDS,0,0,3,2064
NO,NORWAY,0,0,54,21430
PH,PHILIPPINES,0,0,13,2530
SA,SAUDI ARABIA,247500,7653341,1683000,57757222
CH,SWITZERLAND,0,0,1,784
TW,"TAIWAN, PROVINCE OF CHINA",0,0,86,19648
UA,UKRAINE,0,0,5,1974
GB,UNITED KINGDOM,0,0,2,1043
US,UNITED STATES,2,851,72007,5487738
SUM,SUM,343502,11404496,2620804,100339581
