"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'CIF (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'CIF (Baht)')"
AU,AUSTRALIA,12287,1058564,146718,13442070
AT,AUSTRIA,0,0,225,21667
BD,BANGLADESH,0,0,20,5953
BE,BELGIUM,279000,14622293,1817036,101970649
BR,BRAZIL,0,0,180,37834
CN,CHINA,1092025,61789700,7423907,459775385
FI,FINLAND,23375,1680166,262625,18320345
FR,FRANCE,4000,490142,268189,15819427
DE,GERMANY,9945,2851078,133858,33469491
HU,HUNGARY,0,0,36,17129
IN,INDIA,26000,1095898,174872,7361025
ID,INDONESIA,92575,4641680,326989,31866979
IL,ISRAEL,24020,2069972,86426,7662662
IT,ITALY,0,0,277035,18080086
JP,JAPAN,1352668,87590722,14364844,965970152
KP,KOREA DPR,0,0,78200,4231464
KR,"KOREA,REPUBLIC OF",1674750,84904675,18674400,1008657739
KW,KUWAIT,0,0,24750,1122962
LU,LUXEMBOURG,0,0,9625,696724
MY,MALAYSIA,114329,15680297,1402032,146371327
MA,MOROCCO,0,0,130,70395
NL,NETHERLANDS,69500,5924044,1146150,87998253
NZ,NEW ZEALAND,0,0,338,329480
PK,PAKISTAN,0,136,0,136
PH,PHILIPPINES,528000,20017073,624005,24448619
RU,RUSSIAN FEDERATION,0,0,198000,8259404
SA,SAUDI ARABIA,3197250,119448987,33645245,1313224211
SG,SINGAPORE,1590107,84692150,17735562,993060404
SK,SLOVAKIA,10500,672439,36750,2276615
ZA,SOUTH AFRICA,0,0,99000,4090663
ES,SPAIN,99000,4618356,155375,7371170
CH,SWITZERLAND,0,0,2,740
TW,"TAIWAN, PROVINCE OF CHINA",57750,2562647,1561897,65635192
TH,THAILAND,20000,1174601,699910,32484378
TR,TÜRKIYE,0,0,1221,171914
AE,UNITED ARAB EMIRATES,123750,4618662,2789725,106223778
GB,UNITED KINGDOM,10,4655,20163,2499612
US,UNITED STATES,66155,5571576,3036609,160682339
VN,VIETNAM,100738,5095192,237211,15352377
SUM,SUM,10567734,532875705,107459260,5659080750
