"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
CN,CHINA,12000,789464,148275,5196007
HK,HONG KONG,11,3425,11,3425
IT,ITALY,0,0,13750,3359106
JP,JAPAN,150000,4747957,150000,4747957
KR,"KOREA,REPUBLIC OF",151480,10566471,644760,45538522
MY,MALAYSIA,0,0,70445,4572762
SA,SAUDI ARABIA,112750,4515386,156750,6434096
SG,SINGAPORE,1575,275105,1575,275105
SE,SWEDEN,0,0,40000,2772286
US,UNITED STATES,12701,1320336,139709,14769872
VN,VIETNAM,0,0,1680,115909
SUM,SUM,440517,22218144,1366955,87785047
