"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
AT,AUSTRIA,0,0,24750,1379852
BE,BELGIUM,20,523,20,523
BR,BRAZIL,1102496,60321804,4617596,244391090
CN,CHINA,10652,692906,69684,5180857
FI,FINLAND,74250,3933668,173250,9433799
DE,GERMANY,148664,10530026,883494,62101966
IN,INDIA,1000,70015,1001,72674
ID,INDONESIA,2525,930084,111045,8172773
IL,ISRAEL,0,0,41200,3479100
IT,ITALY,0,3332,0,3332
JP,JAPAN,231342,17808902,1019825,78507642
KR,"KOREA,REPUBLIC OF",222024,12696148,1054024,60940573
KW,KUWAIT,123750,5315046,1311750,55351888
MY,MALAYSIA,2906670,142313510,9616008,455635839
MX,MEXICO,0,0,99000,4598041
NL,NETHERLANDS,160260,9647655,985535,57782246
NO,NORWAY,0,0,52250,3034899
QA,QATAR,204000,9281782,2626026,116723847
SA,SAUDI ARABIA,1271650,57706974,9172300,413720017
SG,SINGAPORE,2320125,119677851,9770888,497792729
ZA,SOUTH AFRICA,0,0,99000,4057657
ES,SPAIN,38000,3344900,38000,3344900
CH,SWITZERLAND,0,0,100,31983
TW,"TAIWAN, PROVINCE OF CHINA",5000,422166,9385,1046853
TH,THAILAND,0,0,5200,325676
AE,UNITED ARAB EMIRATES,142310,4705821,672100,22317754
GB,UNITED KINGDOM,2900,445280,13904,2345281
US,UNITED STATES,45888,5453919,457888,39252818
VN,VIETNAM,4648,581594,70648,5199216
SUM,SUM,9018174,465883906,42995871,2156225825
