"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'CIF (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'CIF (Baht)')"
CN,CHINA,5000,475765,24725,2339498
FR,FRANCE,0,0,11000,927580
DE,GERMANY,0,0,1000,117562
IT,ITALY,0,0,42950,7019619
KR,"KOREA,REPUBLIC OF",188800,14274599,535078,40109615
MY,MALAYSIA,1330,131338,11360,1120083
TW,"TAIWAN, PROVINCE OF CHINA",75,15271,95,19375
GB,UNITED KINGDOM,10,3233,22710,2349605
US,UNITED STATES,8104,893681,15527,1798608
VN,VIETNAM,0,0,1800,469808
SUM,SUM,203319,15793887,666245,56271353
