"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'CIF (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1100,236038
BE,BELGIUM,103500,6333101,933027,53016516
BR,BRAZIL,0,0,18600,1104832
CA,CANADA,0,0,46000,3511834
CN,CHINA,42881,2037585,379497,20596271
FR,FRANCE,0,0,22000,1745746
DE,GERMANY,21000,1922260,193977,16953467
HK,HONG KONG,0,0,13894,1039941
ID,INDONESIA,5,158,69848,4832110
IT,ITALY,4825,743340,51665,7360573
JP,JAPAN,40620,3606260,957507,80657980
KR,"KOREA,REPUBLIC OF",32106,1865592,3035433,157578698
MY,MALAYSIA,50131,2463091,2173777,89455057
MX,MEXICO,0,0,25101,3092291
NL,NETHERLANDS,0,0,1,1487
SG,SINGAPORE,0,0,110243,4264863
SE,SWEDEN,0,0,400,22320
CH,SWITZERLAND,10000,1167500,40000,4514381
TW,"TAIWAN, PROVINCE OF CHINA",101750,5582142,1214965,69774851
GB,UNITED KINGDOM,0,0,12150,1567534
US,UNITED STATES,18000,1568025,390955,40520936
VN,VIETNAM,79280,1167805,681612,12727268
SUM,SUM,504098,28456859,10371752,574574994
