"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'CIF (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,24750,1458760
BR,BRAZIL,0,0,16500,1779102
CN,CHINA,60003,4312919,83306,5499876
CZ,CZECH REPUBLIC,0,0,0,415
IN,INDIA,1,401,11,1943
ID,INDONESIA,0,0,1,493
JP,JAPAN,31000,2411807,139541,11124134
KR,"KOREA,REPUBLIC OF",106,33201,431,132400
MY,MALAYSIA,15,6323,15,6323
QA,QATAR,0,0,714000,34880218
SA,SAUDI ARABIA,891000,39349184,2988450,134198444
SG,SINGAPORE,0,0,247500,11983953
TW,"TAIWAN, PROVINCE OF CHINA",0,0,21,12018
TH,THAILAND,233,31942,233,31942
US,UNITED STATES,0,0,51000,3187082
VN,VIETNAM,0,0,125,25549
SUM,SUM,982358,46145777,4265884,204322652
