"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'CIF (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16023,722082
BE,BELGIUM,999320,63952173,4114375,280397564
BR,BRAZIL,584500,62226430,3149700,314677426
BG,BULGARIA,0,0,560300,39005982
CA,CANADA,0,0,39109,3002350
CN,CHINA,158929,9976568,1894137,104537894
CZ,CZECH REPUBLIC,0,0,6,3350
FR,FRANCE,17500,1385760,932630,70706678
DE,GERMANY,14763,6140259,472673,94102748
GH,GHANA,0,0,100,91758
IN,INDIA,0,0,37004,1886493
ID,INDONESIA,40600,2668146,319150,17502134
IL,ISRAEL,0,0,10,6598
IT,ITALY,89820,9817161,2805370,206273256
JP,JAPAN,778409,57502125,8159212,522844008
KR,"KOREA,REPUBLIC OF",2010250,84656499,14796485,675819138
KW,KUWAIT,198000,7723121,1831500,80647508
MY,MALAYSIA,714385,30759558,4817918,217099556
MX,MEXICO,175,61385,175,61385
NL,NETHERLANDS,1000,206522,5060,1064237
NO,NORWAY,0,0,120280,9363063
OM,OMAN,99000,3678526,2673000,115579346
PH,PHILIPPINES,0,0,100,6094
QA,QATAR,1166120,53938867,11962040,560755948
RU,RUSSIAN FEDERATION,0,0,643500,26554003
SA,SAUDI ARABIA,861850,34492111,9250899,412437134
SG,SINGAPORE,1343350,59940790,10462575,497862305
ZA,SOUTH AFRICA,0,0,250,43352
TW,"TAIWAN, PROVINCE OF CHINA",68000,3432452,1729301,96497404
TH,THAILAND,0,0,59115,2953712
AE,UNITED ARAB EMIRATES,380875,20841975,3349500,174273947
GB,UNITED KINGDOM,0,0,31,22473
US,UNITED STATES,339200,21105471,9689442,581428958
VN,VIETNAM,400,17316,50124,2191295
SUM,SUM,9866446,534523215,93941094,5110421179
