"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'CIF (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'CIF (Baht)')"
BR,BRAZIL,300,38588,2235,765273
CN,CHINA,0,0,23200,1884499
FR,FRANCE,20150,1183545,25211,2497380
DE,GERMANY,0,0,1376,283367
HK,HONG KONG,0,0,25,4829
JP,JAPAN,5780,631679,284465,21038146
KR,"KOREA,REPUBLIC OF",131000,5915684,1497990,77083954
NL,NETHERLANDS,0,0,2000,276878
RU,RUSSIAN FEDERATION,0,0,24750,4414814
SG,SINGAPORE,0,0,4336,406973
TW,"TAIWAN, PROVINCE OF CHINA",0,0,14,5435
TH,THAILAND,0,0,1350,154490
AE,UNITED ARAB EMIRATES,0,0,34,6873
GB,UNITED KINGDOM,0,0,2625,428569
US,UNITED STATES,0,0,554,305208
SUM,SUM,157230,7769496,1870165,109556688
