"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'CIF (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'CIF (Baht)')"
AU,AUSTRALIA,16850,1112861,16850,1112861
BE,BELGIUM,93250,6762758,93250,6762758
CN,CHINA,792515,58970733,792515,58970733
FR,FRANCE,80250,5278505,80250,5278505
DE,GERMANY,12850,3471294,12850,3471294
IN,INDIA,39000,1602501,39000,1602501
ID,INDONESIA,10250,1681907,10250,1681907
IT,ITALY,6800,1129027,6800,1129027
JP,JAPAN,739973,62028300,739973,62028300
KR,"KOREA,REPUBLIC OF",2036756,129632439,2036756,129632439
MY,MALAYSIA,93297,13057807,93297,13057807
MX,MEXICO,60,83519,60,83519
NL,NETHERLANDS,168500,14624260,168500,14624260
SA,SAUDI ARABIA,4162550,208481852,4162550,208481852
SG,SINGAPORE,1557232,93766057,1557232,93766057
ES,SPAIN,11000,1355121,11000,1355121
TW,"TAIWAN, PROVINCE OF CHINA",189800,8977610,189800,8977610
TH,THAILAND,500,34001,500,34001
AE,UNITED ARAB EMIRATES,148500,7418584,148500,7418584
US,UNITED STATES,8431,1668333,8431,1668333
VN,VIETNAM,1491,319944,1491,319944
SUM,SUM,10169855,621457413,10169855,621457413
