"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'CIF (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,30890,1397062
AT,AUSTRIA,0,0,615,222943
BE,BELGIUM,64040,2646575,475125,24787013
BR,BRAZIL,37250,3445613,289875,25705520
CA,CANADA,24847,1112935,177383,10112253
CN,CHINA,50582,1905303,240615,12258600
CZ,CZECH REPUBLIC,33,12279,33,12279
FI,FINLAND,0,0,49500,2905006
FR,FRANCE,0,0,262915,14960634
GE,GEORGIA,8250,720286,8250,720286
DE,GERMANY,236545,18808549,720435,62551778
HK,HONG KONG,0,0,3,2329
IN,INDIA,50,9550,8725,592467
ID,INDONESIA,0,0,5025,191225
IT,ITALY,242790,13139969,791257,44567152
JP,JAPAN,797072,46568356,6730617,377855103
KR,"KOREA,REPUBLIC OF",292000,11177789,3146271,125838609
KW,KUWAIT,297000,10275966,3168000,108994355
LA,LAO PDR,0,0,2,4500
MY,MALAYSIA,680525,25652710,7112100,266974942
NL,NETHERLANDS,0,0,135,37969
NO,NORWAY,0,0,19,4760
PH,PHILIPPINES,0,0,507,27485
QA,QATAR,1735880,62968891,10264460,374977269
SA,SAUDI ARABIA,1835500,65295897,11145800,390079075
SG,SINGAPORE,2575950,94052943,11427851,420032508
ES,SPAIN,0,0,33040,1354071
CH,SWITZERLAND,0,0,100,29211
TW,"TAIWAN, PROVINCE OF CHINA",113800,4837485,1861457,76046393
TH,THAILAND,0,0,36768,1339877
AE,UNITED ARAB EMIRATES,1366645,54801379,7802845,287859038
GB,UNITED KINGDOM,9,6526,405,197224
US,UNITED STATES,2102915,77639728,8929254,948901161
VN,VIETNAM,0,0,25,3606
SUM,SUM,12461683,495078729,74720302,3581543703
