"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'CIF (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'CIF (Baht)')"
AU,AUSTRALIA,11000,746570,22000,1528441
AT,AUSTRIA,2750,203610,130625,8935310
BE,BELGIUM,0,0,52800,5372556
CN,CHINA,22000,1920721,972950,60641623
FI,FINLAND,2000,222120,18000,2021239
DE,GERMANY,0,0,11000,1085546
IN,INDIA,0,0,24000,1507013
JP,JAPAN,183000,14548608,2011000,166649963
KR,"KOREA,REPUBLIC OF",197000,12093354,4815525,312293758
MY,MALAYSIA,30000,1803147,665000,43614011
NL,NETHERLANDS,0,0,33000,2416215
PH,PHILIPPINES,0,0,500,82513
SA,SAUDI ARABIA,0,0,24750,1055526
SG,SINGAPORE,0,0,2900,241978
SE,SWEDEN,60500,4106134,1205300,100900904
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,934846
AE,UNITED ARAB EMIRATES,0,0,1146950,55176656
GB,UNITED KINGDOM,0,0,157,15721
US,UNITED STATES,83824,4059860,1353930,98459967
VN,VIETNAM,0,0,526755,33616310
SUM,SUM,592074,39704124,13028142,896550096
