"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'CIF (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'CIF (Baht)')"
AU,AUSTRALIA,1375,101492,1375,101492
BE,BELGIUM,100000,5505138,100000,5505138
BR,BRAZIL,5500,409351,5500,409351
CN,CHINA,5000,302330,5000,302330
FR,FRANCE,6875,803479,6875,803479
DE,GERMANY,12940,1255870,12940,1255870
ID,INDONESIA,74250,3242674,74250,3242674
JP,JAPAN,2230001,127939116,2230001,127939116
KR,"KOREA,REPUBLIC OF",17600,822762,17600,822762
KW,KUWAIT,742500,31185997,742500,31185997
MY,MALAYSIA,423000,18088667,423000,18088667
NL,NETHERLANDS,700,184375,700,184375
QA,QATAR,2953068,133235297,2953068,133235297
SA,SAUDI ARABIA,1856250,79236695,1856250,79236695
SG,SINGAPORE,2191896,102767634,2191896,102767634
SE,SWEDEN,11000,811937,11000,811937
TW,"TAIWAN, PROVINCE OF CHINA",2000,260927,2000,260927
TH,THAILAND,1822,39854,1822,39854
AE,UNITED ARAB EMIRATES,1410350,58505405,1410350,58505405
GB,UNITED KINGDOM,9999,2072329,9999,2072329
US,UNITED STATES,456500,20812658,456500,20812658
SUM,SUM,12512626,587583987,12512626,587583987
