"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'CIF (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,9433,816372
AT,AUSTRIA,0,0,4125,325745
BE,BELGIUM,0,0,75730,4734663
BR,BRAZIL,792000,40646348,9058525,446779035
CA,CANADA,24750,1221735,49510,2404377
CN,CHINA,62454,2812165,300934,16701657
DK,DENMARK,294,3,294,2385
FI,FINLAND,49500,2959024,545700,31515494
FR,FRANCE,0,0,0,2349
DE,GERMANY,318102,23432393,2699988,184844964
HK,HONG KONG,0,0,4,2215
IN,INDIA,0,0,16112,652273
ID,INDONESIA,0,0,6326,2286591
IL,ISRAEL,51260,4350339,92060,7809228
IT,ITALY,0,0,171,44442
JP,JAPAN,245824,22873475,1613345,139696487
KR,"KOREA,REPUBLIC OF",289500,15279103,2472200,132181655
KW,KUWAIT,519750,20495539,2821500,108970778
LA,LAO PDR,0,0,925,44400
LU,LUXEMBOURG,6675,1020379,7850,1244755
MY,MALAYSIA,5245472,223014076,35087590,1469640304
NL,NETHERLANDS,354390,23246888,2161166,131612052
NZ,NEW ZEALAND,0,0,1,691
NO,NORWAY,59090,3541604,264510,15628190
QA,QATAR,918000,38671334,7242000,293839130
RU,RUSSIAN FEDERATION,50000,2039775,50000,2039775
SA,SAUDI ARABIA,3138275,127605968,21746425,877315168
SG,SINGAPORE,2226750,104012468,18070373,818443320
ES,SPAIN,0,0,1,118852
SE,SWEDEN,0,0,9625,501647
CH,SWITZERLAND,4300,748171,62481,5132994
TW,"TAIWAN, PROVINCE OF CHINA",60547,1936969,124001,4110963
TH,THAILAND,9800,591357,86325,4533244
AE,UNITED ARAB EMIRATES,107070,3508018,1053400,34571535
GB,UNITED KINGDOM,5000,792842,18540,3021352
US,UNITED STATES,85628,7096046,1109297,82367092
VN,VIETNAM,9050,1252858,25472,3098673
SUM,SUM,14633481,673148877,106885939,4827034847
