"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'CIF (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'CIF (Baht)')"
CN,CHINA,108000,7971185,108000,7971185
ID,INDONESIA,3175,251700,3175,251700
JP,JAPAN,270170,16512895,270170,16512895
KR,"KOREA,REPUBLIC OF",67200,3492364,67200,3492364
KW,KUWAIT,123750,5722724,123750,5722724
MY,MALAYSIA,1637000,79638504,1637000,79638504
QA,QATAR,459000,19950216,459000,19950216
SA,SAUDI ARABIA,1311750,63218459,1311750,63218459
SG,SINGAPORE,232625,11363648,232625,11363648
AE,UNITED ARAB EMIRATES,742500,30886360,742500,30886360
US,UNITED STATES,44510,5384223,44510,5384223
SUM,SUM,4999680,244392278,4999680,244392278
