"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
CA,CANADA,0,0,7,10621
CN,CHINA,81,10615,103,37532
DE,GERMANY,0,0,18,19674
IN,INDIA,1,31240,1,31240
JP,JAPAN,8000,505398,41275,4880963
NL,NETHERLANDS,0,0,0,5110
NO,NORWAY,350,20708,350,20708
SA,SAUDI ARABIA,123750,4671184,222750,8559834
TW,"TAIWAN, PROVINCE OF CHINA",0,0,18025,1343703
GB,UNITED KINGDOM,0,0,1,12962
US,UNITED STATES,5,60181,18010,1406841
SUM,SUM,132187,5299326,300540,16329188
