"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'CIF (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'CIF (Baht)')"
AT,AUSTRIA,67500,3791721,202500,11401100
BE,BELGIUM,0,0,74350,3682938
CA,CANADA,4000,724051,4000,724051
CN,CHINA,17500,1699983,79500,10465149
FR,FRANCE,245100,11216201,256125,11728408
DE,GERMANY,13950,1800750,15000,1926004
IN,INDIA,81,24782,3587,324205
ID,INDONESIA,46750,5220557,101121,11260563
IT,ITALY,0,0,300,29715
JP,JAPAN,703271,50942053,2715686,184465352
KR,"KOREA,REPUBLIC OF",350880,18342399,692030,35001354
MY,MALAYSIA,3525,165028,11575,531470
MX,MEXICO,280,174084,280,174084
NL,NETHERLANDS,23375,1505103,158125,11081139
PH,PHILIPPINES,25,9250,25,9250
SA,SAUDI ARABIA,99000,4126044,272250,11141494
SG,SINGAPORE,6777555,314793396,17058218,791571921
ZA,SOUTH AFRICA,0,0,74250,2752999
ES,SPAIN,24800,2276415,74300,6856194
CH,SWITZERLAND,1250,236622,1250,236622
TW,"TAIWAN, PROVINCE OF CHINA",294500,15015410,509500,25600315
TH,THAILAND,0,0,6200,278698
AE,UNITED ARAB EMIRATES,555500,23970995,1656500,68832087
GB,UNITED KINGDOM,0,0,1050,420117
US,UNITED STATES,48154,5703761,248909,17415787
SUM,SUM,9276996,461738605,24216631,1207911016
