"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
BE,BELGIUM,49500,2563488,74531,3916638
CN,CHINA,20800,2674974,70900,7923748
DE,GERMANY,5,3938,5,3938
JP,JAPAN,2640,407498,49935,3862943
KR,"KOREA,REPUBLIC OF",37000,1768374,231792,11445027
MY,MALAYSIA,75,87684,125,146267
NL,NETHERLANDS,0,0,123750,10377778
SA,SAUDI ARABIA,519750,23390635,714600,31975028
SG,SINGAPORE,99000,4716819,346500,16949437
CH,SWITZERLAND,0,0,3,2797
TW,"TAIWAN, PROVINCE OF CHINA",20000,2632883,57000,7181108
TH,THAILAND,0,0,534,169173
US,UNITED STATES,701,233724,1400,640874
SUM,SUM,749471,38480017,1671075,94594756
