"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'CIF (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'CIF (Baht)')"
BE,BELGIUM,24000,2575304,84000,8910651
CN,CHINA,0,0,25335,3546204
FI,FINLAND,24750,1757503,24750,1757503
DE,GERMANY,0,0,63000,5248296
JP,JAPAN,0,0,796620,57470522
KR,"KOREA,REPUBLIC OF",0,0,278200,20960887
QA,QATAR,0,0,49500,2056624
SG,SINGAPORE,0,0,225000,9632745
AE,UNITED ARAB EMIRATES,106600,5551104,682500,33048745
US,UNITED STATES,0,0,752528,50048743
SUM,SUM,155350,9883911,2981433,192680920
