"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'CIF (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'CIF (Baht)')"
AT,AUSTRIA,0,0,5500,596944
BE,BELGIUM,52560,4302103,326535,24042848
BR,BRAZIL,0,0,150000,7379933
CN,CHINA,1012101,56919289,3505542,214194057
FI,FINLAND,0,0,46175,4804171
FR,FRANCE,0,0,27000,2019183
DE,GERMANY,26500,2389712,139001,10847345
IN,INDIA,2375,219931,4600,565396
ID,INDONESIA,85500,7610989,170102,15382098
IL,ISRAEL,0,0,48000,4582951
JP,JAPAN,250175,14537499,1121993,73004422
KR,"KOREA,REPUBLIC OF",1270150,64119644,5552200,266543537
MY,MALAYSIA,24222,3315120,182196,17963455
MM,MYANMAR,0,0,400,23623
OM,OMAN,346500,14978922,742500,31285383
SA,SAUDI ARABIA,4426830,203251086,11955897,526609410
SG,SINGAPORE,467449,31440738,3115537,180615119
ZA,SOUTH AFRICA,24750,1133373,74250,3463736
ES,SPAIN,9925,1019370,9925,1019370
TW,"TAIWAN, PROVINCE OF CHINA",184825,9465183,1328255,67578995
TH,THAILAND,0,0,600,29049
AE,UNITED ARAB EMIRATES,52250,2651870,424875,18853362
US,UNITED STATES,37791,4009092,367114,21614121
VN,VIETNAM,459000,21827302,466050,22472228
SUM,SUM,8732903,443191223,29764247,1515490736
