"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'CIF (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2750,207213
BE,BELGIUM,0,0,77,43197
CA,CANADA,0,0,96250,4706655
CN,CHINA,0,0,64000,3106490
HK,HONG KONG,0,0,16000,767001
JP,JAPAN,300,102179,809,270225
KR,"KOREA,REPUBLIC OF",0,0,44002,2112816
NL,NETHERLANDS,0,0,25,8055
QA,QATAR,0,0,101500,4382775
SA,SAUDI ARABIA,49500,2405669,548750,24572104
SG,SINGAPORE,0,0,74250,3825620
SK,SLOVAKIA,0,0,5,3733
ES,SPAIN,0,0,123750,5799733
AE,UNITED ARAB EMIRATES,0,0,200,39639
US,UNITED STATES,0,0,290150,15635699
SUM,SUM,49800,2507848,1362518,65480955
