"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'CIF (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'CIF (Baht)')"
AU,AUSTRALIA,44930,2932225,165405,10835514
BE,BELGIUM,161750,12151023,619450,46332659
BR,BRAZIL,0,0,500,75073
CN,CHINA,411646,30400825,2843093,204384313
FI,FINLAND,23375,1785933,116875,8702376
FR,FRANCE,3100,347764,194550,15325263
DE,GERMANY,59410,7365111,95761,18398509
HK,HONG KONG,0,0,200,20645
IN,INDIA,0,0,54000,2982444
ID,INDONESIA,5427,602943,56603,6674869
IL,ISRAEL,50,19271,50,19271
IT,ITALY,1891,278924,20391,3554337
JP,JAPAN,829226,71945476,4165791,349445256
KP,KOREA DPR,208,134416,48208,3239027
KR,"KOREA,REPUBLIC OF",1832886,117205035,9940265,627582532
MY,MALAYSIA,82976,12879886,404582,60657161
MX,MEXICO,0,0,60,83519
NL,NETHERLANDS,69500,5675124,552250,48475002
NZ,NEW ZEALAND,2625,189576,2702,283090
PT,PORTUGAL,0,0,47,31619
SA,SAUDI ARABIA,4678030,234758855,19291030,975443904
SG,SINGAPORE,1602961,92793800,6349951,386528002
SK,SLOVAKIA,0,0,2000,493831
ZA,SOUTH AFRICA,0,0,297000,15017904
ES,SPAIN,11000,1356727,33021,4084340
TW,"TAIWAN, PROVINCE OF CHINA",364000,15789618,1153600,53971078
TH,THAILAND,0,0,8050,692030
AE,UNITED ARAB EMIRATES,111375,5660310,473000,24107078
GB,UNITED KINGDOM,0,0,152,204254
US,UNITED STATES,604951,30793453,1173880,66529318
VN,VIETNAM,7018,855967,22158,3075448
SUM,SUM,10908335,645922262,48084625,2937249666
