"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'CIF (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'CIF (Baht)')"
AT,AUSTRIA,0,0,5500,476887
CN,CHINA,25100,2217660,195300,18522048
HK,HONG KONG,0,0,1770,114612
JP,JAPAN,156350,13338383,2255250,154921610
KR,"KOREA,REPUBLIC OF",55000,3395836,461140,30814280
MY,MALAYSIA,0,0,50000,3220130
SE,SWEDEN,0,0,24750,1388856
TW,"TAIWAN, PROVINCE OF CHINA",11000,1079600,44000,4315635
AE,UNITED ARAB EMIRATES,39000,1787873,404050,18939629
US,UNITED STATES,200483,11945304,1601853,98766356
VN,VIETNAM,50625,3216051,407325,26616860
SUM,SUM,537558,36980707,5450938,358096903
