"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'CIF (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'CIF (Baht)')"
AU,AUSTRALIA,22500,2003791,88675,7496260
BE,BELGIUM,76750,4466171,152875,8929258
BR,BRAZIL,125,29506,375,60723
CA,CANADA,0,0,436190,19030978
CN,CHINA,675,11303,29845,1589104
IN,INDIA,3000,578063,3000,578063
ID,INDONESIA,809250,36431797,1839475,84255314
IL,ISRAEL,23,15436,23,15436
JP,JAPAN,112600,8034611,236647,20334722
KR,"KOREA,REPUBLIC OF",167450,8961451,237450,14643387
KW,KUWAIT,99000,3959491,420750,17470065
MY,MALAYSIA,236647,11452363,256647,12607984
NL,NETHERLANDS,100005,5660991,100005,5660991
OM,OMAN,247500,9858652,321750,13067693
PH,PHILIPPINES,0,0,5,706
QA,QATAR,255000,9992238,739500,30716845
SA,SAUDI ARABIA,3082200,130824377,8132800,352848748
SG,SINGAPORE,1104000,51125330,1633475,77637068
TW,"TAIWAN, PROVINCE OF CHINA",100,48228,140,56603
TH,THAILAND,35000,1698486,35000,1698486
AE,UNITED ARAB EMIRATES,495000,22739007,1584000,75671933
US,UNITED STATES,470003,24594422,1999798,107592895
VN,VIETNAM,1050,70043,2050,129885
SUM,SUM,7317878,332555757,18250475,852093147
