"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
CA,CANADA,0,0,600,107681
CN,CHINA,12000,788422,26406,1789062
FR,FRANCE,1100,193189,1100,193189
HK,HONG KONG,0,0,29,11917
IN,INDIA,6,2877,6,2877
JP,JAPAN,40000,3930483,60077,6034792
KR,"KOREA,REPUBLIC OF",24000,1682977,24000,1682977
SG,SINGAPORE,99100,4206256,222877,9337631
AE,UNITED ARAB EMIRATES,0,0,39000,1895060
GB,UNITED KINGDOM,0,0,5,2735
US,UNITED STATES,3380,423763,3380,423763
SUM,SUM,179586,11227967,377480,21481684
