"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'CIF (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,14400,655409
CN,CHINA,15600,1144516,45820,3574526
FR,FRANCE,2750,319408,40074,5117959
DE,GERMANY,0,0,5652,1050527
IN,INDIA,14400,810582,14400,810582
JP,JAPAN,17622,1291329,389220,21898894
KR,"KOREA,REPUBLIC OF",114470,5216989,2011184,95035480
MY,MALAYSIA,0,0,20,5625
RU,RUSSIAN FEDERATION,0,0,24750,4087644
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,2177
GB,UNITED KINGDOM,0,0,0,385
US,UNITED STATES,0,0,1094,265456
SUM,SUM,164842,8782824,2546614,132504664
