"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'CIF (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'CIF (Baht)')"
BE,BELGIUM,139270,7794592,139270,7794592
BR,BRAZIL,44750,3992687,44750,3992687
CA,CANADA,11000,664926,11000,664926
CN,CHINA,49200,3294833,49200,3294833
FI,FINLAND,22000,1395254,22000,1395254
DE,GERMANY,4840,3438814,4840,3438814
JP,JAPAN,2049274,117860045,2049274,117860045
KR,"KOREA,REPUBLIC OF",3025,167051,3025,167051
KW,KUWAIT,445500,22155118,445500,22155118
MY,MALAYSIA,294500,13326267,294500,13326267
QA,QATAR,994500,46614874,994500,46614874
SA,SAUDI ARABIA,2598750,121295276,2598750,121295276
SG,SINGAPORE,1638030,72836338,1638030,72836338
TW,"TAIWAN, PROVINCE OF CHINA",500,82248,500,82248
AE,UNITED ARAB EMIRATES,816750,34074735,816750,34074735
US,UNITED STATES,344130,20041971,344130,20041971
SUM,SUM,9456019,469035029,9456019,469035029
