"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'CIF (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'CIF (Baht)')"
AT,AUSTRIA,150,11886,150,11886
BE,BELGIUM,500,142938,95115,8120287
CN,CHINA,58015,5475855,1089209,51246253
CZ,CZECH REPUBLIC,0,0,24,12687
EG,EGYPT,0,0,25,10871
FR,FRANCE,0,0,500,138729
DE,GERMANY,0,0,12200,815540
IN,INDIA,0,0,4050,471089
IT,ITALY,0,0,0,2300
JP,JAPAN,758372,32737309,3179180,158941389
KR,"KOREA,REPUBLIC OF",379300,16059924,4971446,218223013
KW,KUWAIT,0,0,24750,1008305
MY,MALAYSIA,73280,10246230,518924,75314139
NL,NETHERLANDS,19000,1571300,19000,1571300
SA,SAUDI ARABIA,850340,31777407,4917290,186861849
SG,SINGAPORE,330370,14824114,655791,43979560
ZA,SOUTH AFRICA,0,0,123750,4550144
TW,"TAIWAN, PROVINCE OF CHINA",48340,2267400,255865,12087252
TH,THAILAND,20,6530,8220,310263
AE,UNITED ARAB EMIRATES,0,0,100,45936
US,UNITED STATES,34388,3084542,51563,4555435
VN,VIETNAM,0,0,300000,4703684
SUM,SUM,2552075,118205435,16227152,772981911
