"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'CIF (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1903,242893
AT,AUSTRIA,0,0,1034,1316897
BE,BELGIUM,120000,26382302,265994,45516459
CA,CANADA,16128,2748375,18128,3073353
CN,CHINA,127430,10047009,1233920,70231452
FR,FRANCE,54208,4419329,199036,17299312
DE,GERMANY,7014,1620973,35071,9481811
HK,HONG KONG,0,0,26,6121
IN,INDIA,25011,1247715,111829,4818783
ID,INDONESIA,20000,1955707,65031,6551592
IE,IRELAND,0,0,100,35540
IL,ISRAEL,2400,370998,9600,1460016
IT,ITALY,6340,469299,15569,1365174
JP,JAPAN,178095,29720955,1158078,189176564
KR,"KOREA,REPUBLIC OF",198515,14114304,2384852,155737960
MY,MALAYSIA,114900,10472414,1026181,86528378
MX,MEXICO,0,0,41504,2577682
MA,MOROCCO,0,0,207,110098
NL,NETHERLANDS,129450,11748720,723836,66523003
SA,SAUDI ARABIA,321750,14647074,2227500,96995884
SG,SINGAPORE,44800,6095534,566125,94464993
ES,SPAIN,10450,936531,198050,17229120
CH,SWITZERLAND,500,469918,2000,1676201
TW,"TAIWAN, PROVINCE OF CHINA",531038,28418448,1088378,66080121
TH,THAILAND,0,0,3440,507601
TR,TÜRKIYE,0,0,250,92786
AE,UNITED ARAB EMIRATES,0,0,247500,9689078
GB,UNITED KINGDOM,0,0,17239,3185070
US,UNITED STATES,75207,11472502,251018,37402531
VN,VIETNAM,10000,935094,79000,24394410
SUM,SUM,1993236,178293201,11972399,1013770883
