"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'CIF (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'CIF (Baht)')"
KH,CAMBODIA,0,0,7,1613
CN,CHINA,1,188,4197,293890
FR,FRANCE,0,0,3,1460
DE,GERMANY,0,0,5525,162429
JP,JAPAN,1200,267698,9275,1577814
MY,MALAYSIA,255000,10903869,1679600,71272464
PH,PHILIPPINES,0,0,3,1335
SA,SAUDI ARABIA,99000,4070756,1262250,52944618
SG,SINGAPORE,0,0,74250,3050041
ES,SPAIN,0,0,495000,21258981
TW,"TAIWAN, PROVINCE OF CHINA",0,0,502,424675
US,UNITED STATES,0,0,99,33029
SUM,SUM,355201,15242511,3530711,151022349
