"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
AU,AUSTRALIA,38596,2634777,38596,2634777
AT,AUSTRIA,0,0,165,206378
BE,BELGIUM,416360,22744848,1639650,88807379
BR,BRAZIL,81600,5467789,253250,20974674
CA,CANADA,0,0,12000,1009873
CN,CHINA,189341,8054628,264950,13178898
FI,FINLAND,49500,2828382,49500,2828382
FR,FRANCE,0,0,3,25630
DE,GERMANY,3101,5441132,17861,14835867
HK,HONG KONG,0,0,11,2386
IN,INDIA,12000,1068509,12000,1068509
ID,INDONESIA,0,0,17000,717784
IL,ISRAEL,85,30162,165,63622
IT,ITALY,33000,1947538,99750,6640284
JP,JAPAN,2287775,107644920,9167111,420703621
KR,"KOREA,REPUBLIC OF",154025,7045016,1685982,76304648
KW,KUWAIT,717750,29710828,3044250,125865931
LU,LUXEMBOURG,0,0,7,5328
MY,MALAYSIA,192500,7730166,1268750,54519149
PH,PHILIPPINES,0,0,192000,8282200
QA,QATAR,3229460,137328271,9043460,382582322
SA,SAUDI ARABIA,2351250,97483057,11584000,480852375
SG,SINGAPORE,2579965,108923927,13142130,569307605
ES,SPAIN,0,0,241170,13025243
CH,SWITZERLAND,20,2650,50240,2777328
TW,"TAIWAN, PROVINCE OF CHINA",222000,10099001,2267200,108901281
TH,THAILAND,26000,848871,33734,1140883
AE,UNITED ARAB EMIRATES,555300,23813783,5976175,250658675
GB,UNITED KINGDOM,250,123532,378,329745
US,UNITED STATES,638329,33073839,1212571,67023144
VN,VIETNAM,0,0,6600,247051
SUM,SUM,13778207,614045626,61320659,2715520972
