"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2019', 'Quantity')","('Oct 2019', 'CIF (Baht)')","('Jan - Oct 2019', 'Quantity')","('Jan - Oct 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,39,70153
BD,BANGLADESH,0,0,1,67
CN,CHINA,1,291,71769,3280526
DE,GERMANY,0,0,5,12475
IE,IRELAND,0,0,2,1374
JP,JAPAN,20011,2628793,148043,19035250
KR,"KOREA,REPUBLIC OF",84000,3569935,571008,25135284
MY,MALAYSIA,0,0,10,1378
SG,SINGAPORE,15000,819146,328500,17224833
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,10114
AE,UNITED ARAB EMIRATES,0,0,1,291
US,UNITED STATES,0,0,151,66509
SUM,SUM,119012,7018165,1119629,64838254
