"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
AT,AUSTRIA,184,275704,184,275704
BE,BELGIUM,1500,95700,1500,95700
BZ,BELIZE,191,65750,191,65750
CA,CANADA,16,190319,16,190319
CN,CHINA,130300,6979101,130300,6979101
FR,FRANCE,10005,873098,10005,873098
DE,GERMANY,18315,4173779,18315,4173779
HK,HONG KONG,8000,2048888,8000,2048888
IN,INDIA,1,50,1,50
JP,JAPAN,123206,23668029,123206,23668029
KR,"KOREA,REPUBLIC OF",730095,33436600,730095,33436600
MY,MALAYSIA,93500,6734930,93500,6734930
NL,NETHERLANDS,182000,14714559,182000,14714559
SA,SAUDI ARABIA,99000,3184412,99000,3184412
SG,SINGAPORE,16000,1550946,16000,1550946
TW,"TAIWAN, PROVINCE OF CHINA",24000,2420750,24000,2420750
TH,THAILAND,10100,803939,10100,803939
AE,UNITED ARAB EMIRATES,222750,6971719,222750,6971719
US,UNITED STATES,93467,12942563,93467,12942563
VN,VIETNAM,16050,1113377,16050,1113377
SUM,SUM,1778680,122244213,1778680,122244213
