"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
BE,BELGIUM,48000,5111098,108000,11556040
CN,CHINA,0,0,475,43842
DE,GERMANY,0,0,0,64
JP,JAPAN,12000,646971,64034,4006575
KR,"KOREA,REPUBLIC OF",0,0,73200,5513834
LA,LAO PDR,0,0,11,9800
SA,SAUDI ARABIA,0,0,550,21560
SG,SINGAPORE,700000,22767070,3792000,136347621
TW,"TAIWAN, PROVINCE OF CHINA",60,24120,22060,1030909
AE,UNITED ARAB EMIRATES,148350,5907114,565750,23021260
GB,UNITED KINGDOM,0,0,3475,442385
US,UNITED STATES,40687,2421062,839594,59752000
SUM,SUM,949097,36877435,5469149,241745890
