"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'CIF (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'CIF (Baht)')"
AU,AUSTRALIA,4000,188760,4000,188760
AT,AUSTRIA,350,603003,350,603003
BE,BELGIUM,14260,1540032,14260,1540032
CN,CHINA,73503,5414174,73503,5414174
FR,FRANCE,3200,559839,3200,559839
DE,GERMANY,205,63598,205,63598
HK,HONG KONG,0,6800,0,6800
IN,INDIA,5000,267570,5000,267570
ID,INDONESIA,22514,2153013,22514,2153013
IE,IRELAND,100,33009,100,33009
IT,ITALY,480,41334,480,41334
JP,JAPAN,216624,49567392,216624,49567392
KR,"KOREA,REPUBLIC OF",260550,17210382,260550,17210382
MY,MALAYSIA,161903,15006862,161903,15006862
NL,NETHERLANDS,120000,12332566,120000,12332566
SA,SAUDI ARABIA,297000,12975306,297000,12975306
SG,SINGAPORE,136000,11931380,136000,11931380
TW,"TAIWAN, PROVINCE OF CHINA",32466,4524738,32466,4524738
GB,UNITED KINGDOM,96164,10971059,96164,10971059
US,UNITED STATES,100119,14042263,100119,14042263
SUM,SUM,1544438,159433080,1544438,159433080
