"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,39,70153
BD,BANGLADESH,0,0,1,67
CN,CHINA,0,0,71768,3280235
DE,GERMANY,0,0,5,12475
IE,IRELAND,0,0,2,1374
JP,JAPAN,23605,3426570,128032,16406457
KR,"KOREA,REPUBLIC OF",110000,4757331,487008,21565349
MY,MALAYSIA,0,0,10,1378
SG,SINGAPORE,15000,827239,313500,16405687
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,10114
AE,UNITED ARAB EMIRATES,1,291,1,291
US,UNITED STATES,0,0,151,66509
SUM,SUM,148606,9011431,1000617,57820089
