"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'CIF (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7245,1883688
AT,AUSTRIA,0,0,26130,1282340
BE,BELGIUM,0,0,145193,11885971
BR,BRAZIL,396000,19885072,2019025,102228575
BG,BULGARIA,0,0,0,5640
KH,CAMBODIA,0,0,5,1814
CN,CHINA,0,0,403785,31103852
FI,FINLAND,74250,3930730,1064450,54301393
FR,FRANCE,0,0,25,19521
DE,GERMANY,182534,12385384,3496196,229933425
GR,GREECE,0,0,20,7252
HK,HONG KONG,52,13929,142412,6351721
IN,INDIA,0,0,3586,739039
ID,INDONESIA,1250,713786,415900,25329049
IL,ISRAEL,0,0,11600,1000912
IT,ITALY,0,0,20,7523
JP,JAPAN,278474,23719851,3446619,261013916
KR,"KOREA,REPUBLIC OF",266825,15326315,3547650,200131314
KW,KUWAIT,346500,14786610,4380750,181345332
MY,MALAYSIA,1968480,87775775,37950726,1637892867
NL,NETHERLANDS,264995,15378312,3564920,206645253
NZ,NEW ZEALAND,0,0,1,6929
PH,PHILIPPINES,0,0,9,5251
PL,POLAND,0,0,8003,1324547
QA,QATAR,331500,13996392,7137500,293438656
RU,RUSSIAN FEDERATION,0,0,29,14879
SA,SAUDI ARABIA,2413625,103454009,32095898,1335932338
SG,SINGAPORE,2127500,103552336,30903478,1436230310
ES,SPAIN,0,586,36250,2079878
SE,SWEDEN,3750,346142,6148,620380
CH,SWITZERLAND,0,0,121,129583
TW,"TAIWAN, PROVINCE OF CHINA",12500,156140,30800,3486144
TH,THAILAND,0,0,31935,1781936
TN,TUNISIA,0,0,75,25437
AE,UNITED ARAB EMIRATES,99200,4177646,2792112,113075368
GB,UNITED KINGDOM,0,0,17329,2753294
US,UNITED STATES,69839,6924811,1430827,124450344
VN,VIETNAM,4000,551042,36629,5158749
SUM,SUM,8841274,427074868,135153401,6273624420
