"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'CIF (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,25,16801
CN,CHINA,2,586,25326,1354116
FR,FRANCE,1000,189626,8500,1597027
DE,GERMANY,0,0,32,6152
HK,HONG KONG,0,0,44,8175
IN,INDIA,0,0,28,5780
IL,ISRAEL,0,0,24000,1546577
JP,JAPAN,24674,3527554,267469,33821227
KR,"KOREA,REPUBLIC OF",90000,7662109,466549,32222907
MY,MALAYSIA,3000,250733,5000,401882
MX,MEXICO,0,0,545,1160885
QA,QATAR,17000,471199,102000,2943365
SG,SINGAPORE,0,0,158,30507
GB,UNITED KINGDOM,0,0,1106,298745
US,UNITED STATES,0,0,686,49397
SUM,SUM,135676,12101807,901468,75463543
