"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'CIF (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'CIF (Baht)')"
AT,AUSTRIA,0,0,1375,114731
BE,BELGIUM,188210,12936468,1781235,109025343
BR,BRAZIL,11000,1001750,11000,1001750
CA,CANADA,0,0,20956,1583244
CN,CHINA,56535,2070153,2011139,92660478
FR,FRANCE,17,8546,67892,5507347
DE,GERMANY,58375,6649627,607065,56392601
IN,INDIA,103000,5184692,563500,25266113
ID,INDONESIA,26,4539,452026,20920231
IR,IRAN (ISLAMIC REPUBLIC OF),297000,12560288,297000,12560288
JP,JAPAN,1091049,73014953,8714189,541779074
KR,"KOREA,REPUBLIC OF",680,122516,812360,37235983
KW,KUWAIT,346500,15858141,1881000,81214397
MY,MALAYSIA,684000,32433358,2704500,129401107
MX,MEXICO,0,0,387,78708
NL,NETHERLANDS,50700,3782836,79450,6604564
QA,QATAR,1862220,93331760,14450064,672630484
SA,SAUDI ARABIA,1237500,57081092,10469250,461617933
SG,SINGAPORE,3865800,180169809,17013040,790306406
SE,SWEDEN,0,0,22000,1719647
CH,SWITZERLAND,0,0,16730,922577
TW,"TAIWAN, PROVINCE OF CHINA",2300,313680,32475,1285766
TH,THAILAND,0,0,22000,942572
AE,UNITED ARAB EMIRATES,1371689,59627776,12861331,550203364
US,UNITED STATES,97985,5679804,327664,20823700
SUM,SUM,11324586,561831788,75219628,3621798408
